Name,Risk Score,Bachelor's Degree,Master's Degree,More Than 5 Years of Work Experience,More Than 10 Years of Work Experience,More Than 15 Years of Work Experience,More Than 20 Years of Work Experience,More Than 25 Years of Work Experience,More Than 30 Years of Work Experience,Years of Work Experience,Bankruptcies,Criminal Records,Civil Litigation & Legal Filings,Tax Liens,Industry Sanctions & Other Legal Actions,Professional Licenses,LinkedIn Potential Controversies,LinkedIn Political Activity,Twitter Potential Controversies,Twitter Political Activity,Facebook Potential Controversies,Facebook Political Activity,Instagram Potential Controversies,Instagram Political Activity
Matthew Mester,2,Yes,Yes,No,No,No,No,No,No,4,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No
Matthew Mester,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,26,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Mika Romanoff,2,Yes,No,Yes,Yes,Yes,Yes,Yes,No,26,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
Mike Nolan,4,Yes,Yes,Yes,Yes,Yes,No,No,No,18,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
Mitch Rader,1,Yes,No,Yes,Yes,Yes,Yes,Yes,No,27,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Nathan Beck,1,Yes,No,Yes,Yes,Yes,No,No,No,17,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Neil Pennington,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,32,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No
Praneet Nirmul,5,Yes,No,Yes,Yes,Yes,Yes,No,No,23,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
Randy Briesath,2,Yes,No,Yes,Yes,Yes,Yes,Yes,No,30,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No
Robert Jones,5,Yes,No,Yes,Yes,Yes,Yes,No,No,24,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
Robert Scholer,1,Yes,Yes,Yes,Yes,Yes,Yes,No,No,21,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Seraina Macia,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,32,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No
Seth Freedman,5,Yes,No,Yes,Yes,No,No,No,No,13,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No
Sherman Dangerfield,5,No,No,Yes,Yes,No,No,No,No,12,No,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No
Skip Smith,1,Yes,No,Yes,Yes,Yes,Yes,No,No,25,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Stephan Braig,1,Yes,Yes,Yes,Yes,Yes,No,No,No,17,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Steven Hobbs,1,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,45,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No
Stian Hornsletten,2,Yes,No,Yes,Yes,Yes,Yes,No,No,21,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No
Susan Tablack,2,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,34,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No
Taylor Carvajal,3,Yes,Yes,Yes,Yes,Yes,No,No,No,17,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No
Tim O'Leary,1,Yes,No,Yes,Yes,Yes,No,No,No,16,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Vince Re,1,No,No,Yes,Yes,Yes,Yes,Yes,Yes,38,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No
Wes Jahraus,1,Yes,No,Yes,No,No,No,No,No,10,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No
Synthetic Data  #1,1,Yes,Yes,Yes,Yes,Yes,Yes,No,No,23,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No
Synthetic Data  #2,4,Yes,No,Yes,No,No,No,No,No,7,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Synthetic Data  #3,3,No,No,Yes,Yes,Yes,Yes,Yes,Yes,39,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
Synthetic Data  #4,3,Yes,No,Yes,No,No,No,No,No,9,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No
Synthetic Data  #5,2,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,38,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No
Synthetic Data  #6,5,Yes,No,Yes,Yes,No,No,No,No,14,No,Yes,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No
Synthetic Data  #7,5,Yes,No,Yes,Yes,Yes,Yes,No,No,21,No,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No
Synthetic Data  #8,5,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,37,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,Yes
Synthetic Data  #9,3,Yes,No,Yes,Yes,Yes,No,No,No,17,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No
Synthetic Data  #10,2,Yes,Yes,Yes,Yes,Yes,No,No,No,19,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No
Synthetic Data  #11,5,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,36,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No
Synthetic Data  #12,5,No,No,Yes,Yes,No,No,No,No,14,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Yes,No,Yes,No
Synthetic Data  #13,2,Yes,Yes,Yes,Yes,Yes,Yes,No,No,25,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No
Synthetic Data  #14,3,Yes,No,No,No,No,No,No,No,4,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No
Synthetic Data  #15,2,Yes,No,Yes,No,No,No,No,No,8,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No
Synthetic Data  #16,3,Yes,Yes,Yes,Yes,Yes,Yes,No,No,24,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No
Synthetic Data  #17,5,No,No,No,No,No,No,No,No,4,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No
Synthetic Data  #18,2,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,36,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No
Synthetic Data  #19,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,29,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No
Synthetic Data  #20,4,Yes,No,No,No,No,No,No,No,3,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No
Synthetic Data  #21,3,Yes,Yes,Yes,Yes,Yes,Yes,No,No,22,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No
Synthetic Data  #22,4,Yes,Yes,Yes,Yes,No,No,No,No,13,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No
Synthetic Data  #23,4,Yes,No,Yes,No,No,No,No,No,10,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No
Synthetic Data  #24,5,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,31,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No
Synthetic Data  #25,5,Yes,Yes,No,No,No,No,No,No,2,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
Synthetic Data  #26,3,Yes,No,Yes,No,No,No,No,No,9,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No
Synthetic Data  #27,1,Yes,No,Yes,Yes,Yes,Yes,No,No,21,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No
Synthetic Data  #28,3,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,39,No,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No
Synthetic Data  #29,4,Yes,No,Yes,No,No,No,No,No,7,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No
Synthetic Data  #30,1,Yes,No,Yes,Yes,Yes,No,No,No,20,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No
Synthetic Data  #31,4,Yes,No,Yes,Yes,Yes,Yes,Yes,No,30,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No
Synthetic Data  #32,5,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,31,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No
Synthetic Data  #33,5,Yes,Yes,Yes,Yes,Yes,Yes,No,No,23,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes
Synthetic Data  #34,3,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,35,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,Yes
Synthetic Data  #35,5,No,No,Yes,Yes,No,No,No,No,15,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,No
Synthetic Data  #36,1,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,35,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No
Synthetic Data  #37,5,Yes,No,Yes,Yes,No,No,No,No,11,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes
Synthetic Data  #38,4,Yes,No,No,No,No,No,No,No,3,No,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,No
Synthetic Data  #39,5,No,No,Yes,Yes,Yes,Yes,No,No,22,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No
Synthetic Data  #40,4,Yes,Yes,Yes,Yes,No,No,No,No,14,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,Yes
Synthetic Data  #41,5,Yes,No,Yes,Yes,No,No,No,No,11,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,No,Yes
Synthetic Data  #42,4,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,33,No,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No
Synthetic Data  #43,5,Yes,No,Yes,No,No,No,No,No,10,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No
Synthetic Data  #44,2,Yes,No,Yes,No,No,No,No,No,10,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No
Synthetic Data  #45,5,Yes,Yes,Yes,Yes,Yes,No,No,No,17,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No
Synthetic Data  #46,5,Yes,No,Yes,Yes,Yes,Yes,No,No,23,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No
Synthetic Data  #47,4,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,33,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes
Synthetic Data  #48,3,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,35,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No
Synthetic Data  #49,5,No,No,No,No,No,No,No,No,3,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes
Synthetic Data  #50,3,Yes,No,Yes,Yes,Yes,Yes,No,No,23,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes
Synthetic Data  #51,2,Yes,No,Yes,No,No,No,No,No,8,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No
Synthetic Data  #52,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,40,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes
Synthetic Data  #53,5,Yes,No,Yes,Yes,Yes,No,No,No,16,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No
Synthetic Data  #54,5,No,Yes,Yes,Yes,Yes,No,No,No,17,No,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No
Synthetic Data  #55,2,Yes,Yes,No,No,No,No,No,No,2,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No
Synthetic Data  #56,3,Yes,No,Yes,Yes,Yes,No,No,No,19,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No
Synthetic Data  #57,2,Yes,No,No,No,No,No,No,No,3,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes
Synthetic Data  #58,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,37,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No
Synthetic Data  #59,3,Yes,No,Yes,Yes,Yes,Yes,Yes,No,29,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No
Synthetic Data  #60,2,No,No,No,No,No,No,No,No,1,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Synthetic Data  #61,4,Yes,No,Yes,Yes,Yes,No,No,No,18,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,No
Synthetic Data  #62,5,No,Yes,Yes,Yes,Yes,No,No,No,20,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No
Synthetic Data  #63,5,Yes,No,Yes,Yes,Yes,Yes,Yes,No,29,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No
Synthetic Data  #64,5,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,34,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No
Synthetic Data  #65,5,Yes,No,Yes,No,No,No,No,No,8,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No
Synthetic Data  #66,3,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,39,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No
Synthetic Data  #67,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,40,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,Yes
Synthetic Data  #68,1,Yes,No,No,No,No,No,No,No,1,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No
Synthetic Data  #69,4,Yes,No,Yes,Yes,Yes,No,No,No,16,No,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,No
Synthetic Data  #70,4,Yes,No,Yes,Yes,Yes,No,No,No,20,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes
Synthetic Data  #71,1,Yes,No,No,No,No,No,No,No,1,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No
Synthetic Data  #72,2,Yes,No,Yes,Yes,No,No,No,No,12,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No
Synthetic Data  #73,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,36,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes
Synthetic Data  #74,4,Yes,No,No,No,No,No,No,No,2,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No
Synthetic Data  #75,1,Yes,No,Yes,Yes,Yes,Yes,Yes,No,30,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No
Synthetic Data  #76,5,No,No,Yes,Yes,Yes,No,No,No,17,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No
Synthetic Data  #77,2,Yes,No,Yes,No,No,No,No,No,8,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes
Synthetic Data  #78,2,Yes,No,No,No,No,No,No,No,2,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
Synthetic Data  #79,2,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,40,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No
Synthetic Data  #80,4,No,No,Yes,Yes,No,No,No,No,11,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
Synthetic Data  #81,5,Yes,No,Yes,Yes,No,No,No,No,14,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No
Synthetic Data  #82,3,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,40,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No
Synthetic Data  #83,4,Yes,No,Yes,Yes,Yes,Yes,No,No,25,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,No
Synthetic Data  #84,2,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,37,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No
Synthetic Data  #85,2,Yes,Yes,Yes,Yes,No,No,No,No,12,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
Synthetic Data  #86,2,Yes,No,No,No,No,No,No,No,1,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No
Synthetic Data  #87,4,Yes,Yes,Yes,Yes,No,No,No,No,13,Yes,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No
Synthetic Data  #88,1,No,No,Yes,Yes,Yes,Yes,Yes,Yes,39,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No
Synthetic Data  #89,4,Yes,No,Yes,No,No,No,No,No,7,No,No,No,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No
Synthetic Data  #90,3,Yes,No,Yes,Yes,Yes,Yes,Yes,No,27,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,Yes
Synthetic Data  #91,5,Yes,No,No,No,No,No,No,No,5,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No
Synthetic Data  #92,4,Yes,No,Yes,Yes,No,No,No,No,12,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No
Synthetic Data  #93,5,Yes,Yes,No,No,No,No,No,No,1,No,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No
Synthetic Data  #94,4,No,No,Yes,Yes,Yes,Yes,Yes,Yes,32,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No
Synthetic Data  #95,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,36,No,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No
Synthetic Data  #96,5,Yes,No,No,No,No,No,No,No,3,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No
Synthetic Data  #97,5,No,Yes,Yes,No,No,No,No,No,8,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,No
Synthetic Data  #98,4,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,39,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No
Synthetic Data  #99,3,Yes,Yes,Yes,No,No,No,No,No,9,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No
Synthetic Data  #100,5,Yes,No,No,No,No,No,No,No,5,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
Synthetic Data  #101,2,Yes,Yes,Yes,Yes,No,No,No,No,12,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No
Synthetic Data  #102,5,Yes,No,Yes,Yes,Yes,No,No,No,16,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,No
Synthetic Data  #103,5,Yes,Yes,Yes,Yes,Yes,Yes,No,No,24,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No
Synthetic Data  #104,5,No,No,Yes,Yes,Yes,No,No,No,18,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,No
Synthetic Data  #105,3,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,38,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No
Synthetic Data  #106,3,Yes,Yes,Yes,No,No,No,No,No,10,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No
Synthetic Data  #107,5,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,31,No,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,Yes,No
Synthetic Data  #108,3,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,39,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes
Synthetic Data  #109,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,36,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No
Synthetic Data  #110,5,Yes,No,Yes,Yes,Yes,No,No,No,18,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes
Synthetic Data  #111,2,Yes,Yes,Yes,Yes,Yes,No,No,No,19,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No
Synthetic Data  #112,3,Yes,Yes,No,No,No,No,No,No,1,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No
Synthetic Data  #113,1,Yes,No,Yes,Yes,Yes,No,No,No,18,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Synthetic Data  #114,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,28,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No
Synthetic Data  #115,5,Yes,Yes,Yes,Yes,Yes,No,No,No,19,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,No
Synthetic Data  #116,2,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,40,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No
Synthetic Data  #117,3,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,40,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No
Synthetic Data  #118,1,No,No,Yes,Yes,Yes,Yes,Yes,No,26,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
Synthetic Data  #119,5,Yes,No,Yes,Yes,No,No,No,No,13,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No
Synthetic Data  #120,2,Yes,No,Yes,Yes,Yes,No,No,No,19,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No
Synthetic Data  #121,5,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,34,Yes,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,Yes
Synthetic Data  #122,4,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,34,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes
Synthetic Data  #123,4,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,39,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No
Synthetic Data  #124,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,36,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No
Synthetic Data  #125,5,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,32,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No
Synthetic Data  #126,3,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,39,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No
Synthetic Data  #127,5,Yes,No,Yes,Yes,Yes,No,No,No,18,Yes,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes
Synthetic Data  #128,2,Yes,No,Yes,Yes,Yes,Yes,No,No,25,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No
Synthetic Data  #129,3,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,33,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No
Synthetic Data  #130,5,Yes,No,Yes,No,No,No,No,No,10,No,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,Yes,No
